"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -2.830131475,      -15.65023844,      -16.90553729,      -6.527734549,      -2.646171956,    -0.01204768447,       4.046254229,               0.5,    0.008862570386,      0.0488191856,                 0,                 0,                 0,     0.02572554493,    0.005435527555,     0.04931848615,                 0,       5.508468026
          0,           0,           1,      -1.137371532,     -0.9327297551,      -1.128154338,      -6.694401145,     -0.8113494921,     -0.6620199608,        3.64613291,               0.5,     0.01925369226,      0.0752555647,                 0,                 0,                 0,     0.03816705612,     0.01395722869,     0.07641531555,                 0,       3.908630287
          0,           0,           2,      -1.501081111,      -1.228215954,      -1.432728037,       -6.31841685,      -1.009142419,      0.8119880423,       3.319457543,               0.5,      0.0288878387,      0.1045261703,                 0,                 0,                 0,     0.05224452436,     0.02152609272,      0.1062866635,                 0,       3.618345125
          0,           0,           3,      -1.805634222,      -1.446225203,       -1.68408167,      -5.993538371,      -1.600141364,      0.3562481183,       3.074608498,               0.5,     0.03814462324,      0.1359049696,                 0,                 0,                 0,     0.06753042422,     0.02857145393,      0.1382347462,                 0,       3.562886667
          0,           0,           4,      -2.089237341,      -1.642976749,      -1.953413375,      -5.930906293,      -1.635106096,      -0.522906164,       3.156948062,               0.5,     0.04729225818,       0.169097776,                 0,                 0,                 0,     0.08387758119,     0.03538139268,      0.1719848033,                 0,       3.575591069
          0,           0,           5,      -2.377585329,      -1.843296747,      -2.270296806,      -5.828089004,      -1.636342505,      -0.575481577,       2.945259529,               0.5,     0.05640966561,      0.2037352243,                 0,                 0,                 0,      0.1010883644,     0.04206040445,      0.2071738747,                 0,       3.611707712
          0,           0,           6,      -2.661366637,      -2.057147982,      -2.610034515,      -5.693145343,      -1.549976758,     -0.5298972527,       2.752384468,               0.5,     0.06540456791,       0.239256892,                 0,                 0,                 0,       0.118869855,     0.04855552947,      0.2432364661,                 0,        3.65810676
          0,           0,           7,       -2.88590069,      -2.290531536,      -2.909759111,      -5.505041451,      -1.481808393,     -0.3307295769,       2.720605075,               0.5,     0.07406978723,      0.2749212613,                 0,                 0,                 0,      0.1368371277,     0.05471182024,      0.2794184139,                 0,        3.71165183
          0,           0,           8,      -3.067018072,      -2.546772394,      -3.146804513,      -5.265936929,      -1.358111552,    -0.04250887332,       2.800747436,               0.5,     0.08216455334,       0.309844895,                 0,                 0,                 0,      0.1545320985,     0.06035071851,      0.3148216376,                 0,       3.771028775
          0,           0,           9,      -3.260641197,      -2.827373867,       -3.37032468,      -4.958963549,      -1.197758229,     0.01826693043,       2.945628267,               0.5,     0.08947446956,      0.3430285616,                 0,                 0,                 0,      0.1714374561,     0.06532805269,      0.3484343845,                 0,       3.833814979
          0,           0,          10,      -3.470792471,      -3.134608188,      -3.632100601,      -4.572608702,     -0.9887846713,       -0.47565941,       3.184755117,               0.5,     0.09584815415,      0.3734545595,                 0,                 0,                 0,      0.1870249062,     0.06956380111,      0.3792308719,                 0,       3.896314569
          0,           0,          11,      -3.692616918,       -3.47529568,      -3.930020486,      -4.129221331,     -0.7436479305,     -0.8874171657,       3.452592376,               0.5,      0.1012021673,        0.40020783,                 0,                 0,                 0,      0.2008150226,     0.07303855847,      0.4062924499,                 0,       3.954538134
          0,           0,          12,      -3.918576543,      -3.844443289,      -4.208055515,      -3.707363308,     -0.4970948827,      -1.035293772,       3.602629666,               0.5,      0.1055194488,      0.4226251395,                 0,                 0,                 0,      0.2124512403,     0.07578157092,      0.4289563103,                 0,       4.005187139
          0,           0,          13,      -4.131153196,      -4.135179078,      -4.393848578,      -3.469630745,     -0.2733161143,       -1.13076833,       3.734963196,               0.5,      0.1086997572,      0.4396176898,                 0,                 0,                 0,      0.2213407061,     0.07776879186,      0.4461293146,                 0,       4.044330007
          0,           0,          14,       -4.32600895,      -4.066613839,      -4.471137714,      -3.092472155,     -0.1597337664,      -1.192078884,        3.83304152,               0.5,      0.1108162758,      0.4511384151,                 0,                 0,                 0,      0.2274165979,     0.07907650963,      0.4577696169,                 0,       4.071048334
          0,           0,          15,      -4.509379382,      -3.878125167,      -4.359898773,      -2.845111076,     -0.4034619066,     -0.1075701929,       3.699595448,               0.5,      0.1122384032,      0.4589507963,                 0,                 0,                 0,      0.2315723556,     0.07995020863,      0.4656621702,                 0,       4.089070971
