"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
0, 1.000000000000000e+00, 2.000000000000000e-03, -2.459288427578019e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.000000000000000e-04, 1.000000000000000e-04
1, 9.996046986000000e-01, 2.050588400000000e-03, -2.596315732343312e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 3.169412921267602e-02, 1.931509438411017e+01
2, 9.984194195000000e-01, 2.202151900000000e-03, -2.730427440221483e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.559342832095264e-01, 9.389311663617148e+01
3, 9.964460369000000e-01, 2.454085600000000e-03, -2.859231182513228e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 3.273364907559722e-01, 2.115661626866828e+02
4, 9.936876710000000e-01, 2.805384100000000e-03, -2.980835999659212e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 4.854091054004359e-01, 3.503621083456843e+02
5, 9.901486834000000e-01, 3.254644800000000e-03, -3.093816309042115e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 5.714064011529294e-01, 4.745608726034250e+02
6, 9.858346700000000e-01, 3.800073000000000e-03, -3.197166179867545e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 5.842138395711874e-01, 5.534545072544040e+02
7, 9.807524522000000e-01, 4.439488700000000e-03, -3.290247860011981e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 5.577441208032173e-01, 5.793225245538367e+02
8, 9.749100659000000e-01, 5.170333800000000e-03, -3.372737898881150e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 5.195903409164011e-01, 5.661064976673308e+02
9, 9.683167491000000e-01, 5.989682100000000e-03, -3.444573538120601e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 4.815902592097370e-01, 5.336359478362334e+02
10, 9.609829274000000e-01, 6.894249200000000e-03, -3.505901424863665e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 4.469049269297714e-01, 4.958992725440440e+02
11, 9.529201968000000e-01, 7.880404900000000e-03, -3.557030133020003e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 4.158823100422087e-01, 4.594210602514635e+02
12, 9.441413064000000e-01, 8.944186000000000e-03, -3.598387453642490e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 3.882648729235858e-01, 4.262638146579067e+02
13, 9.346601372000000e-01, 1.008131060000000e-02, -3.630483005259139e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 3.637328677458441e-01, 3.967087095983999e+02
14, 9.244916810000000e-01, 1.128719380000000e-02, -3.653876340018634e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 3.419962578539313e-01, 3.705326236441483e+02
15, 9.136520163000000e-01, 1.255696410000000e-02, -3.669150460249792e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 3.228012884662911e-01, 3.474306384800467e+02
16, 9.021582826000000e-01, 1.388548080000000e-02, -3.676890467530390e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 3.059263749695691e-01, 3.271182707611737e+02
17, 8.900286541000000e-01, 1.526735320000000e-02, -3.677666895933702e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.911782291403278e-01, 3.093469472456088e+02
18, 8.772823101000000e-01, 1.669695950000000e-02, -3.672023224699580e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.783889215609157e-01, 2.939022153452808e+02
19, 8.639394052000000e-01, 1.816846730000000e-02, -3.660467025533038e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 2.674135563515079e-01, 2.806000614811864e+02
