"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
           0,     -0.1055675457,     -0.1322179449,      -1.287574239,      -6.176836757,      -1.941885482,     -0.3881873754,       4.395479929,               0.5,    0.007160888879,    0.004968270886,                 0,                 0,                 0,     0.00127524581,    0.006796876277,     0.00545568676,                 0,      0.6938064491
           1,     -0.3994631789,      -0.746150905,      -1.420642842,      -6.331299263,      -2.202318757,     -0.3911505432,        4.26267875,               0.5,     0.01247029079,    0.008857689796,                 0,                 0,                 0,    0.002256269551,     0.01182203261,    0.009705996377,                 0,      0.7103033881
           2,     -0.4023244721,     -0.7484107047,      -1.308430392,      -6.330436643,      -2.203061128,     -0.3941252875,       4.125764802,               0.5,     0.01780694337,     0.01279185963,                 0,                 0,                 0,    0.003248577207,     0.01687125158,     0.01400284882,                 0,      0.7183635827
           3,     -0.4047378718,     -0.7549066997,      -1.266877408,      -6.329385097,      -2.203400268,      -0.397035628,       3.990262397,               0.5,     0.02317278759,     0.01676792818,                 0,                 0,                 0,    0.004250049489,     0.02194666837,     0.01834353422,                 0,      0.7236042758
           4,     -0.4066281906,     -0.7600765118,      -1.247907689,      -6.328192761,      -2.203433214,     -0.3998907408,       3.856190944,               0.5,      0.0285734597,      0.0207873753,                 0,                 0,                 0,    0.005261852443,     0.02705380228,     0.02272992199,                 0,      0.7275064175
           5,     -0.4081499787,     -0.7642521491,      -1.229925525,      -6.326935284,      -2.203321176,     -0.4027366751,       3.724018187,               0.5,     0.03401546146,     0.02485119349,                 0,                 0,                 0,    0.006284637683,     0.03219906998,     0.02716345575,                 0,      0.7305852226
           6,      -0.409380591,     -0.7676631877,      -1.206666517,        -6.3256588,      -2.203164871,     -0.4055919917,       3.594046346,               0.5,     0.03950458996,     0.02895981713,                 0,                 0,                 0,    0.007318458741,     0.03738822416,     0.03164497323,                 0,      0.7330747431
           7,     -0.4103335493,     -0.7704271504,      -1.178648543,      -6.324385981,      -2.203014764,     -0.4084572449,       3.464286812,               0.5,     0.04504536849,     0.03311378362,                 0,                 0,                 0,    0.008363269794,      0.0426257396,     0.03617532601,                 0,      0.7351207178
           8,     -0.4111963465,     -0.7727656538,      -1.148160571,      -6.323126097,      -2.202891913,     -0.4113256467,       3.346516056,               0.5,     0.05064071147,     0.03731424267,                 0,                 0,                 0,    0.009419324382,     0.04791444341,     0.04075586433,                 0,      0.7368427809
           9,     -0.4121672416,      -0.774871892,      -1.117015013,      -6.321879964,      -2.202798728,     -0.4141872135,       3.227603107,               0.5,     0.05629189703,     0.04156268313,                 0,                 0,                 0,     0.01048697666,     0.05325550676,     0.04538816256,                 0,      0.7383422005
