"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
           0,      -3.716291413,       -15.8506911,               -32,      -9.751331582,      -6.982264401,      -3.636213148,     -0.7529166864,               0.5,       6.760290154,    0.003146110667,                 0,                 0,                 0,    -0.09127115493,       6.760290154,    0.003146110667,                 0,   0.0004653810111
           1,      -3.848189228,      -2.712368844,      -3.665710634,      -8.554041315,       4.078624356,      -3.694415971,     -0.8290876228,               0.5,       6.312149895,    0.004425823372,                 0,                 0,                 0,    -0.08646381635,       6.312149895,    0.004425823372,                 0,    0.000701159422
           2,       -3.87776291,      -2.769959964,      -3.791810762,      -8.554249695,       4.077716961,      -2.838636901,     -0.8480449674,               0.5,       6.036698537,    0.005549881948,                 0,                 0,                 0,    -0.08054930226,       6.036698537,    0.005549881948,                 0,   0.0009193571477
           3,      -3.892707112,      -2.807772402,      -3.866715774,      -8.554535635,       4.077033637,      -2.833234063,     -0.8675848327,               0.5,       5.790576634,    0.006951610359,                 0,                 0,                 0,    -0.07273992116,       5.790576634,    0.006951610359,                 0,    0.001200503991
           4,      -3.905118936,      -2.843523943,      -3.924966489,      -8.554824297,       4.076442115,      -2.887698913,     -0.8854260165,               0.5,        5.57194705,    0.008773376145,                 0,                 0,                 0,    -0.06260454093,        5.57194705,    0.008773376145,                 0,     0.00157456201
           5,      -3.915159607,      -2.877209422,       -3.96155493,      -8.555125496,       4.075923736,      -2.937394036,     -0.9014773045,               0.5,       5.374237605,     0.01066354483,                 0,                 0,                 0,    -0.05191254374,       5.374237605,     0.01066354483,                 0,    0.001984196758
           6,      -3.924042288,      -2.909067583,      -3.984613653,      -8.555436902,       4.075465385,      -2.978572092,     -0.9157031918,               0.5,       5.191893986,     0.01232391278,                 0,                 0,                 0,    -0.04215348375,       5.191893986,     0.01232391278,                 0,     0.00237368344
           7,      -3.932558276,      -2.939298865,       -4.00134543,      -8.555754826,       4.075056465,      -3.011941785,     -0.9282641488,               0.5,       5.023355681,     0.01376719237,                 0,                 0,                 0,     -0.0332310771,       5.023355681,     0.01376719237,                 0,    0.002740636587
           8,      -3.940711985,      -2.967966132,      -4.012963882,      -8.556076341,       4.074688584,      -3.038790263,     -0.9394008409,               0.5,       4.867248611,     0.01500429259,                 0,                 0,                 0,    -0.02506162035,       4.867248611,     0.01500429259,                 0,    0.003082705198
           9,      -3.948584355,      -2.995147067,       -4.02082207,      -8.556399207,       4.074355174,      -3.060471912,     -0.9493579569,               0.5,       4.722362027,     0.01604708348,                 0,                 0,                 0,     -0.0175736357,       4.722362027,     0.01604708348,                 0,     0.00339810531
          10,      -3.956184923,      -3.020922807,      -4.026012027,      -8.556720826,       4.074051152,      -3.078206749,     -0.9577454701,               0.5,       4.587621004,      0.0169103867,                 0,                 0,                 0,    -0.01070385204,       4.587621004,      0.0169103867,                 0,    0.003686090609
          11,      -3.963518393,      -3.045379187,      -4.029356327,      -8.557044641,       4.073772475,      -3.092991037,     -0.9434358033,               0.5,       4.462071711,     0.01760699738,                 0,                 0,                 0,   -0.004395278175,       4.462071711,     0.01760699738,                 0,    0.003945924342
          12,      -3.970617202,      -3.068595141,      -4.031315924,      -8.557379358,       4.073515841,      -3.105590191,     -0.6906295833,               0.5,       4.344867404,      0.0181441521,                 0,                 0,                 0,    0.001402616174,       4.344867404,      0.0181441521,                 0,    0.004175996737
          13,      -3.977525142,      -3.090647483,      -4.032249377,      -8.557739102,       4.073278548,      -3.116579296,     -0.1995809287,               0.5,       4.235250341,     0.01853319453,                 0,                 0,                 0,    0.006734285166,       4.235250341,     0.01853319453,                 0,    0.004375938384
          14,      -3.984266218,      -3.111612874,      -4.032438313,      -8.558154966,       4.073058352,      -3.126392705,      0.1094956082,               0.5,       4.132543626,     0.01878499625,                 0,                 0,                 0,       0.011639578,       4.132543626,     0.01878499625,                 0,    0.004545625636
          15,      -3.990872332,      -3.131564095,      -4.032070465,      -8.558688041,       4.072853342,       -3.13534004,      0.1879277057,               0.5,       4.036141979,      0.0189097739,                 0,                 0,                 0,     0.01615429306,       4.036141979,      0.0189097739,                 0,    0.004685111179
          16,      -3.997383194,      -3.150569449,      -4.031285104,      -8.559446344,       4.072661787,      -3.143648944,      0.2364860429,               0.5,       3.945500782,     0.01891693975,                 0,                 0,                 0,     0.02030970066,       3.945500782,     0.01891693975,                 0,    0.004794559878
          17,      -4.003835641,      -3.168690768,      -4.030206639,       -8.56068097,       4.072482058,      -3.151540061,      0.3039431245,               0.5,       3.860129714,     0.01881526573,                 0,                 0,                 0,      0.0241338307,       3.860129714,     0.01881526573,                 0,    0.004874257375
          18,      -4.010484928,      -3.185956742,      -4.029150732,      -8.562893193,       4.072312439,      -3.159328842,      0.3626063542,               0.5,       3.779587695,     0.01861189396,                 0,                 0,                 0,     0.02765256523,       3.779587695,     0.01861189396,                 0,    0.004924318592
          19,      -4.017737588,      -3.202390323,      -4.028938085,      -8.567045597,       4.072153262,      -3.167179455,      0.4173407875,               0.5,       3.703483698,     0.01832486075,                 0,                 0,                 0,     0.03089434341,       3.703483698,     0.01832486075,                 0,    0.004948006321
          20,      -4.025815126,      -3.217994409,      -4.029788453,       -8.57519696,       4.072001935,       -3.17514024,      0.4589322679,               0.5,       3.631458086,     0.01797569438,                 0,                 0,                 0,     0.03388376455,       3.631458086,     0.01797569438,                 0,    0.004949993625
          21,      -4.034833789,      -3.232706302,      -4.031066737,      -8.579958161,       4.071843812,      -3.182963169,      0.4666841881,               0.5,       3.563181047,      0.0175857771,                 0,                 0,                 0,     0.03664138572,       3.563181047,      0.0175857771,                 0,    0.004935414976
          22,      -4.044436966,        -3.2465591,      -4.032395955,      -8.576175563,       4.071657917,      -3.190374951,      0.4700220459,               0.5,       3.498344452,     0.01714170388,                 0,                 0,                 0,     0.03919107172,       3.498344452,     0.01714170388,                 0,    0.004899947422
          23,      -4.056340382,      -3.259664518,      -4.041378695,      -8.568818488,       4.071413015,      -3.196291632,      0.4666733648,               0.5,       3.436618124,     0.01667520801,                 0,                 0,                 0,     0.04155713322,       3.436618124,     0.01667520801,                 0,    0.004852214417
          24,      -4.071184626,       -3.27204372,      -4.057526352,      -8.549136996,       4.071023331,      -3.198487957,      0.4799615237,               0.5,       3.377661936,     0.01619985185,                 0,                 0,                 0,     0.04375448582,       3.377661936,     0.01619985185,                 0,    0.004796173257
          25,      -4.088920648,       -3.28312064,      -4.077682115,      -8.512612544,       4.070287873,      -3.192058829,      0.6290666321,               0.5,       3.321138607,     0.01572028408,                 0,                 0,                 0,     0.04579395055,       3.321138607,     0.01572028408,                 0,    0.004733401988
          26,      -4.108254916,       -3.29198697,      -4.099005878,      -8.458929148,       4.068508365,      -3.166480871,      0.7767566711,               0.5,       3.265352448,     0.01522782407,                 0,                 0,                 0,     0.04765635305,       3.265352448,     0.01522782407,                 0,    0.004663454961
          27,      -4.129492432,      -3.303134434,      -4.129742776,      -8.379355834,       4.063530486,      -3.105858849,      0.8793021923,               0.5,       3.208598653,      0.0147146597,                 0,                 0,                 0,     0.04937199504,       3.208598653,      0.0147146597,                 0,     0.00458600819
          28,      -4.153176031,      -3.318743124,       -4.16677946,      -8.273390796,       4.048666128,      -2.994287984,      0.9888467373,               0.5,       3.149358228,     0.01416938094,                 0,                 0,                 0,     0.05100035177,       3.149358228,     0.01416938094,                 0,    0.004499132814
          29,      -4.179690848,      -3.336437959,      -4.199972252,      -8.154350497,       3.998462752,      -2.831802642,       1.087904865,               0.5,       3.086638673,     0.01358960957,                 0,                 0,                 0,     0.05262570538,       3.086638673,     0.01358960957,                 0,    0.004402721215
          30,      -4.207272468,      -3.350917053,       -4.21982139,      -8.087614719,        3.82872829,      -2.637425187,       1.151395625,               0.5,       2.991055837,      0.0129499645,                 0,                 0,                 0,     0.05460702079,       2.991055837,      0.0129499645,                 0,    0.004329562938
          31,      -4.231457204,      -3.370436184,      -4.226503598,      -8.160327411,       3.523834397,      -2.435293155,       1.166597041,               0.5,        2.85767196,     0.01225831451,                 0,                 0,                 0,     0.05726735266,        2.85767196,     0.01225831451,                 0,    0.004289615703
          32,      -4.253523304,      -3.404368349,       -4.22220286,      -8.331187313,       3.081950782,      -2.246089142,       1.172402716,               0.5,       2.687151724,     0.01151149257,                 0,                 0,                 0,     0.06089793527,       2.687151724,     0.01151149257,                 0,     0.00428390123
