"""Inner_Iter""","""rms[P]""","""rms[U]""","""rms[V]""","""rms[k]""","""rms[w]""","""CD""","""CL""","""CEff""","""CMz"""
           0,        -2.007204516,        -2.507204516,        -2.307204516,        -3.007204516,        -2.807204516,         0.037466605,         0.349654193,         9.332422581,        -0.039298016
           1,        -2.394278446,        -2.894278446,        -2.694278446,        -3.394278446,        -3.194278446,         0.036617791,         0.355974601,         9.721356379,        -0.040261882
           2,        -2.748821939,        -3.248821939,        -3.048821939,        -3.748821939,        -3.548821939,         0.035683918,         0.367509653,        10.299027630,        -0.038883934
           3,        -3.023992466,        -3.523992466,        -3.323992466,        -4.023992466,        -3.823992466,         0.034576870,         0.375376358,        10.856285184,        -0.040952540
           4,        -3.329207090,        -3.829207090,        -3.629207090,        -4.329207090,        -4.129207090,         0.034029256,         0.384990446,        11.313513629,        -0.040097644
           5,        -3.574632168,        -4.074632168,        -3.874632168,        -4.574632168,        -4.374632168,         0.033226755,         0.386945083,        11.645587401,        -0.039559674
           6,        -3.793147275,        -4.293147275,        -4.093147275,        -4.793147275,        -4.593147275,         0.032758539,         0.395692272,        12.079057516,        -0.039782180
           7,        -4.008305070,        -4.508305070,        -4.308305070,        -5.008305070,        -4.808305070,         0.032205098,         0.400375760,        12.432061496,        -0.041298160
           8,        -4.341399793,        -4.841399793,        -4.641399793,        -5.341399793,        -5.141399793,         0.031275740,         0.407071672,        13.015573046,        -0.039267010
           9,        -4.376206243,        -4.876206243,        -4.676206243,        -5.376206243,        -5.176206243,         0.031203170,         0.411555466,        13.189540040,        -0.040818125
          10,        -4.561640999,        -5.061640999,        -4.861640999,        -5.561640999,        -5.361640999,         0.030552977,         0.418212289,        13.688102573,        -0.039348432
          11,        -4.673318301,        -5.173318301,        -4.973318301,        -5.673318301,        -5.473318301,         0.030243715,         0.424052228,        14.021168437,        -0.039628925
          12,        -4.848041440,        -5.348041440,        -5.148041440,        -5.848041440,        -5.648041440,         0.029586842,         0.426968783,        14.431036138,        -0.039622958
          13,        -4.947602203,        -5.447602203,        -5.247602203,        -5.947602203,        -5.747602203,         0.029144819,         0.435757122,        14.951443660,        -0.040807336
          14,        -5.013950372,        -5.513950372,        -5.313950372,        -6.013950372,        -5.813950372,         0.029094695,         0.438375287,        15.067189814,        -0.039402988
          15,        -5.084902022,        -5.584902022,        -5.384902022,        -6.084902022,        -5.884902022,         0.028377637,         0.439993981,        15.504954629,        -0.040369196
          16,        -5.186270894,        -5.686270894,        -5.486270894,        -6.186270894,        -5.986270894,         0.028392629,         0.441735806,        15.558115767,        -0.039829452
          17,        -5.304488216,        -5.804488216,        -5.604488216,        -6.304488216,        -6.104488216,         0.028234224,         0.447970212,        15.866213047,        -0.038483978
          18,        -5.343041330,        -5.843041330,        -5.643041330,        -6.343041330,        -6.143041330,         0.027769202,         0.449400051,        16.183398190,        -0.040526102
          19,        -5.395328682,        -5.895328682,        -5.695328682,        -6.395328682,        -6.195328682,         0.027637489,         0.452436286,        16.370383339,        -0.039541243
          20,        -5.501718165,        -6.001718165,        -5.801718165,        -6.501718165,        -6.301718165,         0.027115708,         0.455566263,        16.800824689,        -0.040640651
          21,        -5.546944376,        -6.046944376,        -5.846944376,        -6.546944376,        -6.346944376,         0.027455753,         0.459007198,        16.718070075,        -0.040010552
          22,        -5.569045748,        -6.069045748,        -5.869045748,        -6.569045748,        -6.369045748,         0.027254001,         0.461179849,        16.921546441,        -0.039507743
          23,        -5.610092525,        -6.110092525,        -5.910092525,        -6.610092525,        -6.410092525,         0.027055857,         0.462238343,        17.084594166,        -0.039797812
          24,        -5.623173726,        -6.123173726,        -5.923173726,        -6.623173726,        -6.423173726,         0.027061112,         0.465459538,        17.200310719,        -0.040183100
          25,        -5.648978150,        -6.148978150,        -5.948978150,        -6.648978150,        -6.448978150,         0.026548173,         0.467652299,        17.615234962,        -0.040552709
          26,        -5.721803536,        -6.221803536,        -6.021803536,        -6.721803536,        -6.521803536,         0.026611684,         0.470803469,        17.691607354,        -0.039676646
          27,        -5.798925798,        -6.298925798,        -6.098925798,        -6.798925798,        -6.598925798,         0.026454268,         0.471918982,        17.839049159,        -0.040246906
          28,        -5.783713474,        -6.283713474,        -6.083713474,        -6.783713474,        -6.583713474,         0.026493037,         0.472984173,        17.853150209,        -0.040452186
          29,        -5.801285773,        -6.301285773,        -6.101285773,        -6.801285773,        -6.601285773,         0.026116983,         0.475702111,        18.214282946,        -0.040148674
          30,        -5.810783069,        -6.310783069,        -6.110783069,        -6.810783069,        -6.610783069,         0.026105357,         0.475136838,        18.200741179,        -0.040469035
          31,        -5.814591520,        -6.314591520,        -6.114591520,        -6.814591520,        -6.614591520,         0.026246772,         0.477521211,        18.193521669,        -0.039896834
          32,        -5.823568492,        -6.323568492,        -6.123568492,        -6.823568492,        -6.623568492,         0.025904408,         0.477949676,        18.450515176,        -0.039887888
