"""x""","""y""","""z""","""dJ/dx""","""dJ/dy""","""dJ/dz"""
0.0000000000,0.0000000000,0.0,-1.4481887408e-02,4.5578520346e-03,0.0
0.0000623052,0.0009471155,0.0,-1.0697690952e-02,4.5083097456e-03,0.0
0.0002492054,0.0018936410,0.0,-8.6078916228e-03,5.0586997459e-03,0.0
0.0005606540,0.0028389868,0.0,-9.4084455340e-03,5.1937485455e-03,0.0
0.0009965733,0.0037825645,0.0,-5.7611655042e-03,6.9815635352e-03,0.0
0.0015568548,0.0047237870,0.0,-9.5910554400e-03,6.7114857634e-03,0.0
0.0022413587,0.0056620692,0.0,-7.8967804156e-03,5.2570676704e-03,0.0
0.0030499145,0.0065968286,0.0,-1.6082749587e-02,4.0926522607e-03,0.0
0.0039823207,0.0075274856,0.0,-6.8712123896e-03,4.4006013441e-03,0.0
0.0050383449,0.0084534640,0.0,-1.0672697999e-02,5.6079321058e-03,0.0
0.0062177239,0.0093741918,0.0,-1.2195632880e-02,4.6553358721e-03,0.0
0.0075201638,0.0102891011,0.0,-6.5447263355e-03,4.4631352666e-03,0.0
0.0089453400,0.0111976293,0.0,-1.1934535625e-02,5.3209366408e-03,0.0
0.0104928974,0.0120992189,0.0,-5.7750486520e-03,4.8110926976e-03,0.0
0.0121624501,0.0129933183,0.0,-1.2041351008e-02,6.8712059853e-03,0.0
0.0139535822,0.0138793825,0.0,-1.0373771858e-02,5.0916385217e-03,0.0
0.0158658473,0.0147568729,0.0,-6.9461128505e-03,3.9635404995e-03,0.0
0.0178987687,0.0156252584,0.0,-9.2297380910e-03,5.2154898994e-03,0.0
0.0200518399,0.0164840155,0.0,-1.0095701770e-02,4.2578005874e-03,0.0
0.0223245242,0.0173326287,0.0,-6.8832650145e-03,3.9487025133e-03,0.0
0.0247162553,0.0181705913,0.0,-6.7925462994e-03,5.2400947593e-03,0.0
0.0272264370,0.0189974054,0.0,-4.6912911093e-03,4.3006990592e-03,0.0
0.0298544439,0.0198125824,0.0,-9.3883376670e-03,5.9632742248e-03,0.0
0.0325996208,0.0206156437,0.0,-8.6170793729e-03,5.4421520160e-03,0.0
0.0354612837,0.0214061207,0.0,-7.7068808606e-03,3.8261190045e-03,0.0
0.0384387194,0.0221835554,0.0,-7.1385241393e-03,5.8164069296e-03,0.0
0.0415311859,0.0229475007,0.0,-9.7404480095e-03,4.8445803156e-03,0.0
0.0447379124,0.0236975210,0.0,-1.3321154703e-02,4.3437363626e-03,0.0
0.0480580998,0.0244331920,0.0,-8.8396789599e-03,4.5949775260e-03,0.0
0.0514909205,0.0251541017,0.0,-7.3871244891e-03,6.2689845620e-03,0.0
0.0550355191,0.0258598503,0.0,-9.8827159676e-03,3.0525332620e-03,0.0
0.0586910122,0.0265500507,0.0,-6.8605103267e-03,4.5519681680e-03,0.0
0.0624564888,0.0272243285,0.0,-8.4639756404e-03,3.0276388889e-03,0.0
0.0663310103,0.0278823230,0.0,-3.9395582493e-03,2.5354042900e-03,0.0
0.0703136113,0.0285236867,0.0,-6.9357738785e-03,3.9655336948e-03,0.0
0.0744032991,0.0291480858,0.0,-7.3693777454e-03,3.3840356530e-03,0.0
0.0785990545,0.0297552009,0.0,-5.0975203228e-03,2.3516184260e-03,0.0
0.0828998319,0.0303447267,0.0,-7.0416800269e-03,4.1876447377e-03,0.0
0.0873045594,0.0309163724,0.0,-7.7463010741e-03,4.4564657910e-03,0.0
0.0918121393,0.0314698620,0.0,-6.0777513737e-03,4.8206173676e-03,0.0
0.0964214481,0.0320049344,0.0,-6.0064004821e-03,3.2492274794e-03,0.0
0.1011313372,0.0325213437,0.0,-5.4031624224e-03,3.2597694897e-03,0.0
0.1059406327,0.0330188592,0.0,-3.3375134537e-03,3.7524254690e-03,0.0
0.1108481360,0.0334972657,0.0,-6.0322060207e-03,3.3257044542e-03,0.0
0.1158526242,0.0339563637,0.0,-4.8031643672e-03,3.7947020147e-03,0.0
0.1209528499,0.0343959694,0.0,-7.3375521370e-03,3.5050376860e-03,0.0
0.1261475421,0.0348159148,0.0,-4.7816662279e-03,3.0195380175e-03,0.0
0.1314354062,0.0352160478,0.0,-5.1108132496e-03,2.5180992809e-03,0.0
0.1368151244,0.0355962325,0.0,-4.9191619825e-03,3.3573592652e-03,0.0
0.1422853558,0.0359563489,0.0,-6.7206973277e-03,3.8784582014e-03,0.0
0.1478447372,0.0362962934,0.0,-5.7623102569e-03,2.7512764827e-03,0.0
0.1534918830,0.0366159784,0.0,-5.2638518299e-03,2.4359857552e-03,0.0
0.1592253860,0.0369153327,0.0,-4.7921600694e-03,3.3608255813e-03,0.0
0.1650438171,0.0371943012,0.0,-3.7098022216e-03,4.2660574822e-03,0.0
0.1709457264,0.0374528450,0.0,-4.7367060910e-03,1.8546285754e-03,0.0
0.1769296428,0.0376909417,0.0,-4.5851006444e-03,2.7010884206e-03,0.0
0.1829940752,0.0379085846,0.0,-4.0063873387e-03,3.1566831164e-03,0.0
0.1891375121,0.0381057836,0.0,-4.1874996986e-03,1.6787733860e-03,0.0
0.1953584224,0.0382825643,0.0,-2.8929157571e-03,3.2125065955e-03,0.0
0.2016552559,0.0384389685,0.0,-4.5979551272e-03,3.7697643006e-03,0.0
0.2080264430,0.0385750537,0.0,-4.8085875221e-03,1.5775093819e-03,0.0
0.2144703961,0.0386908934,0.0,-3.9486649034e-03,1.6204796148e-03,0.0
0.2209855092,0.0387865765,0.0,-4.3813104961e-03,2.7071849389e-03,0.0
0.2275701585,0.0388622076,0.0,-2.4735657441e-03,3.5417221614e-03,0.0
0.2342227031,0.0389179065,0.0,-3.4995050279e-03,1.5396962104e-03,0.0
0.2409414849,0.0389538083,0.0,-3.1737485139e-03,2.0720166903e-03,0.0
0.2477248296,0.0389700629,0.0,-2.9623294151e-03,2.1567612606e-03,0.0
0.2545710465,0.0389668353,0.0,-3.5695507881e-03,1.6665093909e-03,0.0
0.2614784294,0.0389443049,0.0,-2.8769780858e-03,3.1098412219e-03,0.0
0.2684452569,0.0389026655,0.0,-2.1805248642e-03,2.3288360261e-03,0.0
0.2754697928,0.0388421251,0.0,-2.6243721835e-03,1.8862629964e-03,0.0
0.2825502862,0.0387629054,0.0,-2.7502131424e-03,2.1836791498e-03,0.0
0.2896849727,0.0386652421,0.0,-1.9059430073e-03,2.8356357653e-03,0.0
0.2968720741,0.0385493838,0.0,-2.6253073933e-03,1.9834327234e-03,0.0
0.3041097992,0.0384155924,0.0,-1.9075746514e-03,1.6929480185e-03,0.0
0.3113963443,0.0382641426,0.0,-2.6266067904e-03,1.9069699061e-03,0.0
0.3187298934,0.0380953216,0.0,-2.2185273173e-03,1.8508762831e-03,0.0
0.3261086187,0.0379094285,0.0,-2.1996464925e-03,1.8360985609e-03,0.0
0.3335306815,0.0377067744,0.0,-2.1751553759e-03,1.7709488878e-03,0.0
0.3409942319,0.0374876819,0.0,-2.1193771101e-03,2.0393411940e-03,0.0
0.3484974098,0.0372524846,0.0,-1.7100110337e-03,1.4553659245e-03,0.0
0.3560383454,0.0370015268,0.0,-1.3690387788e-03,1.4637200090e-03,0.0
0.3636151593,0.0367351633,0.0,-1.3037390573e-03,1.9705107778e-03,0.0
0.3712259631,0.0364537590,0.0,-1.5481971233e-03,2.1572867818e-03,0.0
0.3788688601,0.0361576882,0.0,-2.1898689052e-03,1.6123038672e-03,0.0
0.3865419455,0.0358473346,0.0,-9.9938643119e-04,1.4483923277e-03,0.0
0.3942433071,0.0355230905,0.0,-1.3718828959e-03,1.0760853651e-03,0.0
0.4019710254,0.0351853569,0.0,-1.2729446242e-03,1.5830094424e-03,0.0
0.4097231746,0.0348345424,0.0,-1.1706794851e-03,1.2378853021e-03,0.0
0.4174978227,0.0344710635,0.0,-1.0518121255e-03,1.9395751403e-03,0.0
0.4252930320,0.0340953438,0.0,-1.1545029006e-03,1.1642227519e-03,0.0
0.4331068599,0.0337078133,0.0,-1.0613519825e-03,1.6238508694e-03,0.0
0.4409373590,0.0333089085,0.0,-9.5182889078e-04,1.4602827295e-03,0.0
0.4487825777,0.0328990717,0.0,-1.2148014351e-03,1.4958561063e-03,0.0
0.4566405609,0.0324787505,0.0,-1.3049890600e-03,1.1307420488e-03,0.0
0.4645093502,0.0320483972,0.0,-1.2023054211e-03,1.0442057543e-03,0.0
0.4723869844,0.0316084688,0.0,-8.6763902530e-04,1.5019391477e-03,0.0
0.4802715005,0.0311594263,0.0,-1.0549548835e-03,1.1841708597e-03,0.0
0.4881609332,0.0307017339,0.0,-6.6338520913e-04,1.2858420481e-03,0.0
0.4960533165,0.0302358590,0.0,-7.3165829610e-04,9.2033680956e-04,0.0
0.5039466835,-0.0297622718,0.0,-7.0048552548e-04,1.1568722199e-03,0.0
0.5118390668,-0.0292814442,0.0,-4.4547404538e-04,1.1544097149e-03,0.0
0.5197284995,-0.0287938499,0.0,-7.6961360507e-04,9.2860631747e-04,0.0
0.5276130156,-0.0282999639,0.0,-8.6327434551e-04,1.1525402276e-03,0.0
0.5354906498,-0.0278002616,0.0,-6.0403039263e-04,8.6856900254e-04,0.0
0.5433594391,-0.0272952189,0.0,-7.5274043358e-04,6.8255076620e-04,0.0
0.5512174223,-0.0267853112,0.0,-5.9312947497e-04,8.3599824405e-04,0.0
0.5590626410,-0.0262710135,0.0,-6.1949579121e-04,9.7395335421e-04,0.0
0.5668931401,-0.0257527991,0.0,-5.9182164830e-04,1.1199744743e-03,0.0
0.5747069680,-0.0252311403,0.0,-5.9075919009e-04,8.3547626941e-04,0.0
0.5825021773,-0.0247065068,0.0,-4.1179761271e-04,9.9679077286e-04,0.0
0.5902768254,-0.0241793658,0.0,-5.7788271244e-04,1.0978735336e-03,0.0
0.5980289746,-0.0236501818,0.0,-4.2763723437e-04,8.3578881400e-04,0.0
0.6057566929,-0.0231194155,0.0,-4.7806606162e-04,7.9810934379e-04,0.0
0.6134580545,-0.0225875239,0.0,-4.6643840993e-04,5.2159318411e-04,0.0
0.6211311399,-0.0220549595,0.0,-5.2186204746e-04,8.7706811222e-04,0.0
0.6287740369,-0.0215221701,0.0,-5.2863819099e-04,1.0992417769e-03,0.0
0.6363848407,-0.0209895985,0.0,-3.8857920646e-04,7.3567156859e-04,0.0
0.6439616546,-0.0204576814,0.0,-4.0040915039e-04,1.0057481251e-03,0.0
0.6515025902,-0.0199268500,0.0,-2.5159141942e-04,7.7697222654e-04,0.0
0.6590057681,-0.0193975287,0.0,-2.6163121799e-04,3.3490811832e-04,0.0
0.6664693185,-0.0188701352,0.0,-2.1276742510e-04,4.8996437217e-04,0.0
0.6738913813,-0.0183450801,0.0,-4.1764992923e-04,5.4716776622e-04,0.0
0.6812701066,-0.0178227661,0.0,-3.1653413103e-04,4.9695631542e-04,0.0
0.6886036557,-0.0173035883,0.0,-3.5874230305e-04,4.9394184298e-04,0.0
0.6958902008,-0.0167879330,0.0,-3.8947477615e-04,4.9675711301e-04,0.0
0.7031279259,-0.0162761783,0.0,-2.5181303912e-04,6.2145354245e-04,0.0
0.7103150273,-0.0157686930,0.0,-2.8821170786e-04,7.6277156162e-04,0.0
0.7174497138,-0.0152658365,0.0,-2.8340809053e-04,4.4069076723e-04,0.0
0.7245302072,-0.0147679587,0.0,-2.3718259434e-04,5.0367721381e-04,0.0
0.7315547431,-0.0142753993,0.0,-2.9529612562e-04,5.9973278387e-04,0.0
0.7385215706,-0.0137884878,0.0,-2.4312230004e-04,6.4032655328e-04,0.0
0.7454289535,-0.0133075433,0.0,-2.1518162005e-04,5.1971547850e-04,0.0
0.7522751704,-0.0128328736,0.0,-2.4092325748e-04,6.8338483915e-04,0.0
0.7590585151,-0.0123647759,0.0,-2.2033396001e-04,4.7688488486e-04,0.0
0.7657772969,-0.0119035355,0.0,-1.7187799839e-04,5.7160007596e-04,0.0
0.7724298415,-0.0114494266,0.0,-1.8551982097e-04,5.2656840534e-04,0.0
0.7790144908,-0.0110027111,0.0,-1.2605428691e-04,5.8384954521e-04,0.0
0.7855296039,-0.0105636391,0.0,-1.4444776592e-04,4.0006665426e-04,0.0
0.7919735570,-0.0101324484,0.0,-2.3102139175e-04,3.4063357634e-04,0.0
0.7983447441,-0.0097093644,0.0,-1.8174380460e-04,4.6261768365e-04,0.0
0.8046415776,-0.0092945997,0.0,-1.4321538193e-04,5.6746088754e-04,0.0
0.8108624879,-0.0088883543,0.0,-2.2547385860e-04,2.6592025290e-04,0.0
0.8170059248,-0.0084908153,0.0,-1.1947472252e-04,5.0070332555e-04,0.0
0.8230703572,-0.0081021565,0.0,-1.2067075760e-04,3.9035930340e-04,0.0
0.8290542736,-0.0077225388,0.0,-1.6249535790e-04,4.7325189755e-04,0.0
0.8349561829,-0.0073521097,0.0,-1.4691899802e-04,4.1620992328e-04,0.0
0.8407746140,-0.0069910033,0.0,-1.2617103515e-04,5.0510578879e-04,0.0
0.8465081170,-0.0066393403,0.0,-1.3077523612e-04,4.2132586432e-04,0.0
0.8521552628,-0.0062972280,0.0,-1.2667363182e-04,3.9614058558e-04,0.0
0.8577146442,-0.0059647599,0.0,-1.3262902477e-04,3.6908125056e-04,0.0
0.8631848756,-0.0056420161,0.0,-1.0646553093e-04,4.3504083252e-04,0.0
0.8685645938,-0.0053290631,0.0,-1.6676225997e-04,3.8721635655e-04,0.0
