"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
0, 1.000000000000000e+00, 1.499820000000000e-03, -1.333941090364724e+00, -8.421660162562602e-279, -5.888998149843060e-280, 1.000000000000000e-10, 1.000000000000000e-04, 1.020827993532067e+00, 1.040318239165698e+03
1, 9.999229944000000e-01, 1.505866800000000e-03, -1.731446922528406e+00, 2.012878821594143e-261, 1.407541913044755e-262, 1.000000000000000e-10, 1.000000000000000e-04, 6.754036021708645e-01, 7.901775202753126e+02
2, 9.996920012000000e-01, 1.524027300000000e-03, -1.903200601887702e+00, 1.071884830663669e-256, 7.495348497537109e-258, 1.000000000000000e-10, 1.000000000000000e-04, 8.579061405970465e-01, 1.016315899204795e+03
3, 9.993070915000000e-01, 1.554362200000000e-03, -1.937657876375894e+00, -2.225890971692060e-256, -1.556494510704432e-257, 1.000000000000000e-10, 1.000000000000000e-04, 6.986107075039374e-01, 7.842532909176653e+02
4, 9.987683841000000e-01, 1.596972300000000e-03, -2.001221030957464e+00, 2.776379810696463e-254, 1.941433785363999e-255, 1.000000000000000e-10, 1.000000000000000e-04, 7.722183216064523e-01, 8.975591809198182e+02
5, 9.980760447000000e-01, 1.651998800000000e-03, -2.018733250073122e+00, 6.474192665128027e-254, 4.527196287989962e-255, 1.000000000000000e-10, 1.000000000000000e-04, 7.574730962417083e-01, 8.661449318471387e+02
6, 9.972302866000000e-01, 1.719623000000000e-03, -2.000094674908389e+00, -1.711374425018598e-254, -1.196709511911312e-255, 1.000000000000000e-10, 1.000000000000000e-04, 8.764297315574590e-01, 9.810071502879728e+02
7, 9.962313704000000e-01, 1.800066300000000e-03, -2.114942939785172e+00, 7.627261792291199e-252, 5.333500725052276e-253, 1.000000000000000e-10, 1.000000000000000e-04, 7.327478466166296e-01, 8.432423102348802e+02
8, 9.950796038000000e-01, 1.893589600000000e-03, -2.153325018984290e+00, 4.654906046146534e-251, 3.255027223172680e-252, 1.000000000000000e-10, 1.000000000000000e-04, 7.344488003437855e-01, 8.429523718112919e+02
9, 9.937753414000000e-01, 2.000493900000000e-03, -2.136817969960989e+00, -1.449233942714467e-251, -1.013403039613781e-252, 1.000000000000000e-10, 1.000000000000000e-04, 8.351486655203930e-01, 9.391011193589286e+02
10, 9.923189851000001e-01, 2.121119100000000e-03, -2.207284459157625e+00, 5.080894406269930e-250, 3.552907286746508e-251, 1.000000000000000e-10, 1.000000000000000e-04, 7.356603200986075e-01, 8.479936130276855e+02
11, 9.907109835000000e-01, 2.255844100000000e-03, -2.222556628833172e+00, 9.534509856340166e-250, 6.667178420859262e-251, 1.000000000000000e-10, 1.000000000000000e-04, 7.362551444510508e-01, 8.479728198453857e+02
12, 9.889518318000000e-01, 2.405086500000000e-03, -2.191678945791298e+00, -1.436281658613948e-250, -1.004345920752197e-251, 1.000000000000000e-10, 1.000000000000000e-04, 8.394368148365824e-01, 9.441103645337256e+02
13, 9.870420718000000e-01, 2.569302000000000e-03, -2.243062697604408e+00, 2.036621853202605e-249, 1.424144657220476e-250, 1.000000000000000e-10, 1.000000000000000e-04, 7.384023741460635e-01, 8.557545677484467e+02
14, 9.849822920000000e-01, 2.748983600000000e-03, -2.247947398676825e+00, 2.353021246077800e-249, 1.645392653849030e-250, 1.000000000000000e-10, 1.000000000000000e-04, 7.386672897493186e-01, 8.555467148224410e+02
15, 9.827731266000000e-01, 2.944661400000000e-03, -2.209623583910770e+00, -2.372854326351399e-250, -1.659261293853776e-251, 1.000000000000000e-10, 1.000000000000000e-04, 8.405477983572369e-01, 9.471677181650205e+02
16, 9.804152563000000e-01, 3.156901400000000e-03, -2.246681481954997e+00, 1.899012880658873e-249, 1.327919094912194e-250, 1.000000000000000e-10, 1.000000000000000e-04, 7.425110963040821e-01, 8.648255690056666e+02
17, 9.779094072000000e-01, 3.386305100000000e-03, -2.244053445753443e+00, 1.582879165847109e-249, 1.106856878473505e-250, 1.000000000000000e-10, 1.000000000000000e-04, 7.426259077337364e-01, 8.647627540562727e+02
18, 9.752563512000000e-01, 3.633507900000000e-03, -2.200697110874920e+00, -1.187948850777838e-250, -8.306947144979683e-252, 1.000000000000000e-10, 1.000000000000000e-04, 8.428366899423920e-01, 9.509637735235667e+02
19, 9.724569055000000e-01, 3.899178600000000e-03, -2.228934931940142e+00, 7.016013162213467e-250, 4.906074067821001e-251, 1.000000000000000e-10, 1.000000000000000e-04, 7.471638262263592e-01, 8.746423991210534e+02
20, 9.695119324000000e-01, 4.184017800000000e-03, -2.221702219461576e+00, 4.799771542814618e-250, 3.356327041187999e-251, 1.000000000000000e-10, 1.000000000000000e-04, 7.472057604670058e-01, 8.745660150939636e+02
