"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
           0,      -3.680320546,      -15.77581277,      -16.91828696,      -2.994584206,    -0.03877624212,               0.5,      0.2156896523,     0.01240672386,                 0,                 0,                 0,     0.00602057013,       0.214298794,     0.02742225048,                 0,     0.05752118253
           1,      -3.828161338,      -3.620976715,      -3.712783918,      -3.009171237,       1.372187093,               0.5,      0.2846094483,     0.09014821763,                 0,                 0,                 0,     0.04825979255,      0.2776277326,      0.1097819716,                 0,      0.3167435873
           2,      -3.853756923,      -3.639303855,      -3.697822348,      -3.023506802,       1.327850934,               0.5,      0.3381439332,      0.1538312497,                 0,                 0,                 0,     0.08277242429,      0.3265895067,      0.1770442517,                 0,      0.4549283149
           3,      -3.912936419,      -3.714943063,      -3.758471356,      -3.037595215,       1.288279558,               0.5,      0.3822184958,      0.2091170251,                 0,                 0,                 0,      0.1123503371,      0.3667001653,      0.2352698397,                 0,        0.54711383
           4,      -3.958338225,      -3.773617798,      -3.792306272,      -3.051437184,       1.253616766,               0.5,      0.4187039075,      0.2565899531,                 0,                 0,                 0,      0.1375536538,      0.3997851566,      0.2851722195,                 0,      0.6128195807
           5,      -3.993933831,      -3.819878959,      -3.811829004,      -3.065025395,       1.223769182,               0.5,      0.4490188324,      0.2970418801,                 0,                 0,                 0,      0.1589396994,      0.4272044522,      0.3276402699,                 0,      0.6615354607
           6,      -4.022480422,        -3.8572953,       -3.82430037,      -3.078363819,       1.198761404,               0.5,      0.4742858035,      0.3313454623,                 0,                 0,                 0,      0.1770424426,      0.4500169774,      0.3636228249,                 0,      0.6986198192
           7,      -4.045793273,      -3.888275653,      -3.833379363,      -3.091449055,       1.178958342,               0.5,      0.4953965768,      0.3603515622,                 0,                 0,                 0,      0.1923470583,      0.4690529628,      0.3940308805,                 0,      0.7274001862
           8,      -4.065173125,      -3.914494677,      -3.840899797,       -3.10427461,        1.16542781,               0.5,       0.513058855,      0.3848343367,                 0,                 0,                 0,      0.2052777436,      0.4849643846,      0.4196860744,                 0,      0.7500783448
           9,      -4.081492637,      -3.937004935,      -3.847570332,       -3.11683542,       1.156880387,               0.5,      0.5278450107,      0.4054817489,                 0,                 0,                 0,      0.2162023583,      0.4982742314,      0.4413146205,                 0,      0.7681833507
          10,      -4.095389967,      -3.956527236,      -3.853691719,      -3.129129931,       1.138239649,               0.5,       0.540222769,      0.4228928199,                 0,                 0,                 0,      0.2254364494,      0.5094073033,      0.4595467077,                 0,      0.7828119141
          11,      -4.107391756,      -3.973660565,      -3.859484558,      -3.141156602,       1.119120374,               0.5,      0.5505780653,      0.4375821953,                 0,                 0,                 0,      0.2332486903,      0.5187126956,      0.4749226495,                 0,      0.7947686675
          12,       -4.11785447,      -3.988782246,      -3.864959127,      -3.152913072,       1.100671858,               0.5,       0.559231481,      0.4499881012,                 0,                 0,                 0,      0.2398666877,      0.5264796399,       0.487901967,                 0,      0.8046544525
          13,      -4.127082381,      -4.002215994,      -3.870163171,      -3.164398483,       1.082650126,               0.5,      0.5664507423,      0.4604814443,                 0,                 0,                 0,      0.2454825877,      0.5329493368,       0.498873339,                 0,      0.8129240726
          14,      -4.135317036,      -4.014224106,      -3.875114099,      -3.175613802,       1.064826298,               0.5,      0.5724604135,       0.469374832,                 0,                 0,                 0,      0.2502582113,      0.5383239975,      0.5081642763,                 0,      0.8199253973
          15,      -4.142727285,      -4.025037388,      -3.879794943,      -3.186560322,       1.046941259,               0.5,        0.57744984,      0.4769308866,                 0,                 0,                 0,      0.2543295714,      0.5427741862,      0.5160499695,                 0,      0.8259260867
          16,      -4.149473426,      -4.034845791,      -3.884236202,      -3.197238818,       1.028843137,               0.5,      0.5815788968,      0.4833698447,                 0,                 0,                 0,      0.2578108861,      0.5464440258,      0.5227612711,                 0,       0.831133742
          17,      -4.155657657,      -4.043792407,      -3.888427759,      -3.207651014,       1.010354273,               0.5,      0.5849832449,       0.488876254,                 0,                 0,                 0,       0.260798056,      0.5494559735,      0.5284917424,                 0,        0.83570984
          18,      -4.161376217,      -4.051971485,      -3.892389901,      -3.217799675,      0.9914981528,               0.5,      0.5877769429,      0.4936044351,                 0,                 0,                 0,      0.2633715189,       0.551913045,      0.5334032844,                 0,      0.8397818952
          19,      -4.166695715,      -4.059422162,      -3.896124225,      -3.227688315,      0.9723573391,               0.5,      0.5900556578,      0.4976833742,                 0,                 0,                 0,      0.2655986858,      0.5539016767,      0.5376312424,                 0,      0.8434515754
          20,      -4.171673486,      -4.066249665,      -3.899646598,      -3.237321646,      0.9528810948,               0.5,      0.5919003694,      0.5012208372,                 0,                 0,                 0,      0.2675360465,      0.5554951337,      0.5412887689,                 0,      0.8467993316
          21,      -4.176352284,      -4.072530449,      -3.902960594,      -3.246705106,      0.9330372012,               0.5,      0.5933796122,      0.5043068438,                 0,                 0,                 0,      0.2692309295,      0.5567555042,       0.544470445,                 0,       0.849889065
          22,      -4.180767208,      -4.078335195,      -3.906082002,      -3.255844194,      0.9128078008,               0.5,      0.5945513611,      0.5070165877,                 0,                 0,                 0,      0.2707229819,      0.5577353766,      0.5472553251,                 0,      0.8527717215
          23,      -4.184946461,      -4.083721451,      -3.909018269,      -3.264744408,      0.8921860956,               0.5,      0.5954646315,       0.509412881,                 0,                 0,                 0,       0.272045412,      0.5584792654,      0.5497094876,                 0,      0.8554880575
          24,      -4.188910937,      -4.088735472,      -3.911778656,      -3.273411418,      0.8711738784,               0.5,      0.5961608357,      0.5115481951,                 0,                 0,                 0,      0.2732260307,      0.5590248217,       0.551888165,                 0,       0.858070783
          25,      -4.192680066,      -4.093420497,      -3.914376107,      -3.281851141,      0.8497794792,               0.5,      0.5966749299,      0.5134663583,                 0,                 0,                 0,      0.2742881222,      0.5594038593,      0.5538375171,                 0,      0.8605462247
          26,      -4.196267686,      -4.097809049,      -3.916818228,      -3.290069689,       0.828016203,               0.5,      0.5970363935,      0.5152039642,                 0,                 0,                 0,      0.2752511724,      0.5596432331,      0.5555961047,                 0,      0.8629356097
          27,      -4.199685853,      -4.101932534,      -3.919116771,      -3.298073299,      0.8059013548,               0.5,      0.5972700592,      0.5167915383,                 0,                 0,                 0,      0.2761314766,      0.5597655861,      0.5571961112,                 0,      0.8652560601
