"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega"
0, 1.000000000000000e+00, 1.499820000000000e-03, -1.397596257882383e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000195326229e+05
1, 9.999229944000000e-01, 1.505866800000000e-03, -6.978864636785994e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000563969355e+05
2, 9.996920012000000e-01, 1.524027300000000e-03, -3.619788081854957e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999901472022e+05
3, 9.993070915000000e-01, 1.554362200000000e-03, -3.044799951242333e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001167345914e+05
4, 9.987683841000000e-01, 1.596972300000000e-03, -3.064932757324906e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000418096416e+05
5, 9.980760447000000e-01, 1.651998800000000e-03, -3.149158972761988e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000948052947e+05
6, 9.972302866000000e-01, 1.719623000000000e-03, -3.183044258908213e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000274849729e+05
7, 9.962313704000000e-01, 1.800066300000000e-03, -3.162974334750047e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001948366768e+05
8, 9.950796038000000e-01, 1.893589600000000e-03, -3.131449582750336e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999285443561e+05
9, 9.937753414000000e-01, 2.000493900000000e-03, -3.126544144774195e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001114941912e+05
10, 9.923189851000001e-01, 2.121119100000000e-03, -3.153755128463692e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000857695615e+05
11, 9.907109835000000e-01, 2.255844100000000e-03, -3.200060273834829e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001471636878e+05
12, 9.889518318000000e-01, 2.405086500000000e-03, -3.250302939534079e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999488599477e+05
13, 9.870420718000000e-01, 2.569302000000000e-03, -3.297403599250553e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999799709129e+05
14, 9.849822920000000e-01, 2.748983600000000e-03, -3.340848748310313e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999397586513e+05
15, 9.827731266000000e-01, 2.944661400000000e-03, -3.381945846737300e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000457969752e+05
16, 9.804152563000000e-01, 3.156901400000000e-03, -3.421957138080962e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999946158490e+05
17, 9.779094072000000e-01, 3.386305100000000e-03, -3.461817557816888e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001810197505e+05
18, 9.752563512000000e-01, 3.633507900000000e-03, -3.502145389043005e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000002826206098e+05
19, 9.724569055000000e-01, 3.899178600000000e-03, -3.543361362846991e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000938767413e+05
20, 9.695119324000000e-01, 4.184017800000000e-03, -3.585767018116272e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000716383539e+05
21, 9.664223391000000e-01, 4.488756700000000e-03, -3.629583716036092e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000002485709774e+05
22, 9.631890772000000e-01, 4.814155000000000e-03, -3.674945825921059e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000002321653250e+05
23, 9.598131425999999e-01, 5.160999800000000e-03, -3.721901136956228e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000002389327719e+05
24, 9.562955751000000e-01, 5.530103200000000e-03, -3.770447505832845e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000002797626388e+05
25, 9.526374583000000e-01, 5.922300400000000e-03, -3.820564132013857e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000002243496414e+05
26, 9.488399190000000e-01, 6.338447200000000e-03, -3.872226908496913e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000004733629648e+05
27, 9.449041268000000e-01, 6.779417300000000e-03, -3.925415244078063e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000002738116667e+05
28, 9.408312942000000e-01, 7.246099900000000e-03, -3.980113594505450e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000002862658448e+05
29, 9.366226755000000e-01, 7.739396300000000e-03, -4.036312507734759e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000005532627012e+05
30, 9.322795672000000e-01, 8.260216600000000e-03, -4.094008114034660e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000003710893501e+05
31, 9.278033071000000e-01, 8.809476700000001e-03, -4.153175781149764e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000004320350581e+05
32, 9.231952738000000e-01, 9.388093900000000e-03, -4.213763790000774e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000004168920503e+05
33, 9.184568869000000e-01, 9.996983100000001e-03, -4.275706238008476e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000003122103939e+05
34, 9.135896058000000e-01, 1.063705300000000e-02, -4.338914383606030e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000004902823629e+05
35, 9.085949298000000e-01, 1.130920080000000e-02, -4.403300696103532e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000005173851311e+05
36, 9.034743973000000e-01, 1.201430830000000e-02, -4.468778282724274e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000006218819737e+05
37, 8.982295856000000e-01, 1.275323610000000e-02, -4.535240323797053e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000005119197322e+05
38, 8.928621101999999e-01, 1.352681940000000e-02, -4.602557982363279e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000006838487076e+05
39, 8.873736244000000e-01, 1.433586160000000e-02, -4.670589901025449e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000007252423396e+05
40, 8.817658188000000e-01, 1.518112940000000e-02, -4.739206278804219e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000005894148365e+05
41, 8.760404207000000e-01, 1.606334700000000e-02, -4.808280695680957e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000005435841630e+05
42, 8.701991937000000e-01, 1.698318960000000e-02, -4.877672796887095e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000005550310833e+05
